"Name","data.open_face","data.question","data.ratio_missing","f1"
"electric-sweep-20","eye_gaze","controlling_temper","0.25","0.5647969245910645"
"trim-sweep-19","eye_gaze","controlling_temper","0.2","0.5838509202003479"
"laced-sweep-18","eye_gaze","controlling_temper","0.15","0.5919563174247742"
"denim-sweep-17","eye_gaze","controlling_temper","0.1","0.6402836441993713"
"faithful-sweep-16","eye_gaze","controlling_temper","0.05","0.5909830331802368"
"eternal-sweep-15","eye_gaze","argued_someone","0.25","0.6677146553993225"
"magic-sweep-14","eye_gaze","argued_someone","0.2","0.6278255581855774"
"warm-sweep-13","eye_gaze","argued_someone","0.15","0.6313397884368896"
"dulcet-sweep-12","eye_gaze","argued_someone","0.1","0.6475633978843689"
"worthy-sweep-11","eye_gaze","argued_someone","0.05","0.651037871837616"
"sandy-sweep-10","eye_gaze","anything_regret","0.25","0.4770364761352539"
"wandering-sweep-9","eye_gaze","anything_regret","0.2","0.45380544662475586"
"ethereal-sweep-8","eye_gaze","anything_regret","0.15","0.4251082241535187"
"sweepy-sweep-7","eye_gaze","anything_regret","0.1","0.4382631778717041"
"dashing-sweep-6","eye_gaze","anything_regret","0.05","0.42957183718681335"
"azure-sweep-5","eye_gaze","dream_job","0.25","0.6322272419929504"
"bright-sweep-4","eye_gaze","dream_job","0.2","0.6704652905464172"
"dazzling-sweep-3","eye_gaze","dream_job","0.15","0.6395238041877747"
"flowing-sweep-2","eye_gaze","dream_job","0.1","0.6528685688972473"
"celestial-sweep-1","eye_gaze","dream_job","0.05","0.6495726704597473"
